8738,Action,*,Main Driver,Description :P
10038,Action,*,User 10 Fault,Description :P
10048,Action,*,User 13 Fault,Description :P
10034,Action,*,User 11 Fault, Description :P
10051,Action,*,User 16 Fault,Description :P
36,5,empty,empty,empty,empty
164,5,empty,empty,empty,empty
168,5,empty,empty,empty,empty
147,5,empty,empty,empty,empty
148,5,empty,empty,empty,empty
149,5,empty,empty,empty,empty
150,5,empty,empty,empty,empty
151,5,empty,empty,empty,empty
153,5,empty,empty,empty,empty
154,5,empty,empty,empty,empty
155,5,empty,empty,empty,empty
161,5,empty,empty,empty,empty
162,5,empty,empty,empty,empty
163,5,empty,empty,empty,empty
164,5,empty,empty,empty,empty
165,5,empty,empty,empty,empty
166,5,empty,empty,empty,empty
167,5,empty,empty,empty,empty
100,5,empty,empty,empty,empty
101,5,KSW_hour,empty,empty,Active_User
102,5,KSW_hour,empty,empty,Active_User
103,5,KSW_hour,empty,empty,Active_User
104,5,New_first_service_interval,empty,empty,Active_User
105,5,New_standard_service_interval,empty,empty,Active_User
106,5,New_full_service_interval,empty,empty,Active_User
107,5,First_service_remaining,Standard_service_remaining,Full_service_remaining,Active_User
108,5,New_standard_service_interval_time,empty,empty,Active_User
109,5,New_full_service_interval_time,empty,empty,Active_User
110,5,Standard_service_remaining_time,Full_service_remaining_time,empty,Active_User
111,5,Warning_deadband,empty,empty,Active_User
112,5,Warning_deadband_time,empty,empty,Active_User
200,5,empty,empty,empty,empty
201,5,empty,empty,empty,empty
202,5,empty,empty,empty,empty
203,5,empty,empty,empty,empty
204,5,Active_User,Old_Time_Date,New_Time_Date,empty
205,5,empty,empty,empty,empty
206,5,Active_User,empty,empty,empty
207,5,Active_User,empty,empty,empty,	
208,5,Active_User,empty,empty,empty
209,5,Active_User,MoCAS_Code,empty,empty
210,5,Active_User,MoCAS_Code,empty,empty
211,5,Active_User,Current_Hourmeter,New_Hourmeter,MoCAS_Module_ID
212,5,Active_User,MoCAS_Error_Code,MoCAS_Error_Data,MoCAS_Module_ID
213,5,Active_User,MoCAS_Code,empty,MoCAS_Module_ID
214,5,Active_User,MoCAS_Code,empty,MoCAS_Module_ID
215,5,Active_User,CAN_Node,empty,empty
216,5,New_Time_Date,Old_Time_Date,Active_User,empty
217,5,New_Time_Date,Old_Time_Date,Active_User,empty
300,5,empty,empty,empty,empty
301,5,Soc,Vbat,empty,empty
302,5,Soc,Vbat,empty,empty
303,5,Soc,Vbat,empty,empty
304,5,Soc,Vbat,empty,empty
305,5,Soc,Vbat,Tbat,empty
306,5,Soc,Vbat,Tbat,empty
307,5,Soc,Vbat,Bat_Action_Code,empty
308,5,Soc,Vbat,Bat_Action_Code,empty
309,5,Soc,Vbat,Parameter_Code,New_value
400,5,empty,empty,empty,empty
401,5,Pre_Check_type,Active_User,empty,empty
402,5,Driver_Presence_Settings,Active_User,empty,empty
500,5,empty,empty,empty,empty
Curtis_TP_1,5,Soc,Keyswitch_Voltage,Main_State,empty
Curtis_TP_2,5,Soc,Keyswitch_Voltage,Main_State,empty
Curtis_TP_3,5,Pot_Low_Output,Ext_Supply_Current,empty,empty
Curtis_TP_4,5,Throttle_Pot_Raw,Throttle_Pot_Output,empty,empty
Curtis_TP_5,5,Throttle_Pot_Raw,Throttle_Pot_Output,empty,empty
Curtis_TP_6,5,Pot2_Raw,empty,empty,empty
Curtis_TP_7,5,Pot2_Raw,empty,empty,empty
Curtis_TP_8,5,empty,empty,empty,empty
Curtis_TP_9,5,Throttle_Pot_Raw,Switches,Mapped_Throttle,empty
Curtis_TP_10,5,Keyswitch_Voltage,Current_RMS,Soc,empty
Curtis_TP_11,5,Keyswitch_Voltage,Current_RMS,Soc,empty
Curtis_TP_12,5,UnderVoltageCutback,Keyswitch_Voltage,Current_RMS,empty
Curtis_TP_13,5,OverVoltageCutback,Keyswitch_Voltage,Current_RMS,empty
Curtis_TP_14,5,empty,empty,empty,empty
Curtis_TP_15,5,ControllerTempCutback,Controller_Temperature,Motor_Temperature,empty
Curtis_TP_16,5,Motor_Temperature,Controller_Temperature,User_Motor_Temperature,empty
Curtis_TP_17,5,Motor_Temperature,Controller_Temperature,User_Motor_Temperature,empty
Curtis_TP_18,5,PWM1_Output,Switches,Keyswitch_Voltage,empty
Curtis_TP_19,5,PWM2_Output,Switches,Keyswitch_Voltage,empty
Curtis_TP_20,5,PWM3_Output,Switches,Keyswitch_Voltage,empty
Curtis_TP_21,5,PWM4_Output,Switches,Keyswitch_Voltage,empty
